slug,city,state,postal_code,derived_county,method,confidence,share,reason
"pickleball-republic-carlsbad-south-carlsbad","Carlsbad",CA,,"",none,0,,"no postal_code"
"carpinteria-community-tennis-and-pickleball-courts","Carpinteria",CA,93013,"Ventura",zip_nearest_county_centroid,0.78,0.2534,"ZCTA spans 2 counties; nearest county centroid is 36 km away, next is 50 km (margin 14 km) — OVERRODE the larger-by-land-area candidate"
"dignity-health-sports-park-pavillion-courts","Carson",CA,90895,"",none,0,,"ZIP has no ZCTA in the Census relationship file (often a PO-box or point ZIP)"
"arnold-cypress-park","Cypress",CA,90630,"Orange",zip_nearest_county_centroid,0.78,0.9945,"ZCTA spans 2 counties; nearest county centroid is 29 km away, next is 46 km (margin 17 km)"
"lexington-park","Cypress",CA,90630,"Orange",zip_nearest_county_centroid,0.78,0.9945,"ZCTA spans 2 counties; nearest county centroid is 29 km away, next is 46 km (margin 17 km)"
"covell-park","Davis",CA,95616,"Yolo",zip_nearest_county_centroid,0.78,0.9679,"ZCTA spans 2 counties; nearest county centroid is 21 km away, next is 35 km (margin 15 km)"
"redwood-park","Davis",CA,95616,"Yolo",zip_nearest_county_centroid,0.78,0.9679,"ZCTA spans 2 counties; nearest county centroid is 19 km away, next is 35 km (margin 17 km)"
"slide-hill-park","Davis",CA,95618,"Yolo",zip_nearest_county_centroid,0.78,0.7731,"ZCTA spans 2 counties; nearest county centroid is 21 km away, next is 38 km (margin 17 km)"
"slide-hill-park-tennis-courts","Davis",CA,95618,"Yolo",zip_nearest_county_centroid,0.78,0.7731,"ZCTA spans 2 counties; nearest county centroid is 21 km away, next is 35 km (margin 15 km)"
"stonegate-country-club","Davis",CA,95616,"Yolo",zip_nearest_county_centroid,0.78,0.9679,"ZCTA spans 2 counties; nearest county centroid is 17 km away, next is 34 km (margin 17 km)"
"walnut-park","Davis",CA,95618,"Yolo",zip_nearest_county_centroid,0.78,0.7731,"ZCTA spans 2 counties; nearest county centroid is 22 km away, next is 36 km (margin 14 km)"
