city_key,wanted_slug,slug,name,street_address,total_courts,latitude,longitude,km_apart
FL/jupiter/jupiter-community-park,jupiter-community-park,jupiter-community-park-12529,Jupiter Community Park,3377 Church Street,3,26.9464774,-80.1477429,1.396
FL/leesburg/pear-park,pear-park,pear-park,Pear Park,US highway 27,12,28.7247105,-81.8626889,9.689
FL/leesburg/pear-park,pear-park,pear-park-1140,Pear Park,26701 Us Highway 27,12,28.810823,-81.8778582,9.689
FL/mims/cuyler-community-center,cuyler-community-center,cuyler-community-center,Cuyler Community Center,2339 Harry T Moore Ave,3,28.6607283,-80.8401411,2.568
FL/mims/cuyler-community-center,cuyler-community-center,cuyler-community-center-1162,Cuyler Community Center,2329 Harry T Moore Ave.,5,28.683293,-80.8457402,2.568
FL/perry/taylor-county-sports-complex,taylor-county-sports-complex,taylor-county-sports-complex,Taylor County Sports Complex,1685 US 19,2,30.1026894,-83.5879642,1.743
FL/perry/taylor-county-sports-complex,taylor-county-sports-complex,taylor-county-sports-complex-1227,Taylor County Sports Complex,"1685 N Us Hwy 19 , North Of Julia St",2,30.1174351,-83.5818147,1.743
FL/punta-gorda/gilchrist-park,gilchrist-park,gilchrist-park,Gilchrist Park,400 W Retta Esplanade,4,26.9362364,-82.0521642,1.166
FL/punta-gorda/gilchrist-park,gilchrist-park,gilchrist-park-1249,Gilchrist Park,400 West Retta Esplanade,4,26.9291957,-82.06088,1.166
FL/sebring/tanglewood,tanglewood,tanglewood,Tanglewood Pickleball Courts,3000 Tanglewood Parkway,8,27.4957453,-81.4410425,6.535
FL/sebring/tanglewood,tanglewood,tanglewood-1268,Tanglewood,1100 Tanglewood Drive,4,27.5238445,-81.4992395,6.535
GA/atlanta/peachtree-hills-park,peachtree-hills-park,peachtree-hills-park,Peachtree Hills Park,305 Peachtree Hills DR,4,33.8181774,-84.3770055,0.065
GA/atlanta/peachtree-hills-park,peachtree-hills-park,peachtree-hills-park-12157,Peachtree Hills Park,308 Peachtree Hills Ave NE,12,33.8182644,-84.3777,0.065
GA/dacula/dacula-park,dacula-park,dacula-park,Dacula Park,2735 Auburn Ave,8,33.9962085,-83.8922458,0.657
GA/dacula/dacula-park,dacula-park,dacula-park-10191,Dacula Park,205 Dacula Rd,8,33.9925628,-83.8978508,0.657
